,state,latitude,longitude
0,ABIA,5.4527,7.5248
1,ADAMAWA,9.3265,12.3984
2,AKWA,4.9057,7.8537
3,ANAMBRA,6.2209,6.9370
4,BAUCHI,10.7761,9.9992
5,BAYELSA,4.9247,6.2662
6,BENUE,7.7348,8.5401
7,BORNO,11.8469,13.1606
8,CROSSRIVER,4.9534,8.3290
9,DELTA,6.2024,7.0029
10,EBONYI,6.3161,8.1165
11,EDO,6.3405,5.6214
12,EKITI,7.6237,5.2202
13,ENUGU,6.5244,7.5103
14,GOMBE,10.2897,11.1673
15,IMO,5.4836,7.0260
16,JIGAWA,12.1740,9.5678
17,KADUNA,10.5239,7.4406
18,KANO,12.0022,8.59195
19,KATSINA,12.9894,	7.6000
20,KEBBI,12.4534,4.1975
21,KOGI,7.8000,6.7333
22,KWARA,8.5000,5.7500
23,LAGOS,6.5244,3.3792
24,NASARAWA,8.4967,8.5150
25,NIGER,9.6134,6.5561
26,OGUN,7.1558,3.3458
27,ONDO,7.2500,5.1950
28,OSUN,7.7669,4.5567
29,OYO,7.3775,3.9470
30,PLATEAU,9.9150,8.9000
31,RIVERS,4.7774,7.0134
32,SOKOTO,13.0496,5.2925
33,TARABA,8.8964,11.5011
34,YOBE,11.7480,11.9600
35,ZAMFARA,12.1628,6.6654
36,FCT,9.0579,7.4951
